Número de clusters 	 ARI
5	0.3296145745293214
6	0.40164073062306976
7	0.4826428294520557
8	0.49704225720513767
9	0.6516348382877873
10	0.6715522503580769
11	0.6385772339959416
12	0.6450566240551835
